review_id,hotel_id,user_id,rating,title,body,language,traveller_type,stay_date,room_type_id,helpful_votes,has_photo,sentiment_hint,created_at,updated_at
rvw_8d8fb78a,htl_06d140bd,usr_60c3a39a,7,Average,"पैसे के हिसाब से बढ़िया। दोबारा आऊँगा, पर पीछे वाला कमरा लूँगा।",hi,senior,2025-07-17,rmt_654f0c33,0,0,0.33,2025-07-29T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_dc2dc996,htl_06d140bd,usr_f7077299,10,,"Breakfast was better than it needed to be. The aloo paratha in particular. Slightly overpriced in season, good value outside it.",en-IN,backpacker,2026-01-19,rmt_dc3186dc,1,0,1,2026-01-28T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_a51b8301,htl_06d140bd,usr_e7722766,10,Noisy but central,"Wi-fi held up well enough for a two-hour video call, which I did not expect. Would stay again, but I would ask for a room at the back.",en-IN,friends,2025-12-16,rmt_dc3186dc,15,0,1,2025-12-27T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_b34f7cf3,htl_06d140bd,usr_47d7ab5a,9,Noisy but central,"पैसे के हिसाब से बढ़िया। दोबारा आऊँगा, पर पीछे वाला कमरा लूँगा।",hi,senior,2026-06-06,rmt_dc3186dc,13,0,0.78,2026-06-24T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_1c4b4bd1,htl_06d140bd,usr_9ae9cbcb,7,,"Staff remembered our names by the second morning, which is rare anywhere. Breakfast was better than it needed to be. The appam in particular. Hot water was inconsistent on the upper floor. Exactly what was advertised, no more and no less.",en-IN,friends,2026-03-10,rmt_dc3186dc,7,0,0.33,2026-03-25T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_54c8fe94,htl_06d140bd,usr_d8a9b9b3,9,,"Staff remembered our names by the second morning, which is rare anywhere. Fine for two nights, probably not for a week.",en-IN,friends,2026-07-06,rmt_dc3186dc,3,0,0.78,2026-07-17T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_ad8bb3c7,htl_06d140bd,usr_e2490a9e,10,Good location,"Room was spotless and the air conditioning was silent, which mattered in June. Fine for two nights, probably not for a week.",en-IN,family,2025-07-05,,0,1,1,2025-07-14T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_8e622bff,htl_06d140bd,usr_8317ab30,8,Better than expected,"Staff remembered our names by the second morning, which is rare anywhere. Would stay again, but I would ask for a room at the back.",en-IN,senior,2025-11-01,,0,1,0.56,2025-11-08T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_506da322,htl_06d140bd,usr_a25f0129,9,,"സ്ഥലം മികച്ചതാണ്, ബീച്ചിലേക്ക് നടക്കാവുന്ന ദൂരം. വൈഫൈ ദുർബലമായിരുന്നു.",ml,family,2025-09-04,rmt_79ee35e1,4,0,,2025-09-06T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_4ccea82a,htl_06d140bd,usr_7d446287,8,,"Room was spotless and the air conditioning was silent, which mattered in December. The location is the whole argument for this place — we walked to the beach road twice a day. Would stay again, but I would ask for a room at the back.",en-IN,family,2026-01-11,rmt_d3c6ad86,4,0,0.56,2026-01-14T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_0d1745e9,htl_06d140bd,usr_4db9e8d2,10,Great staff,"Room was spotless and the air conditioning was silent, which mattered in December. Wi-fi held up well enough for a two-hour video call, which I did not expect. Would stay again, but I would ask for a room at the back.",en-IN,business,2026-01-23,,0,0,1,2026-01-30T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_60e1ff3c,htl_06d140bd,usr_991a1e29,7,Noisy but central,"कमरा साफ़ था और स्टाफ़ मददगार था। नाश्ता ठीक-ठाक था, लेकिन सड़क का शोर सुबह जल्दी शुरू हो जाता है।",hi,friends,2025-05-11,rmt_d3c6ad86,2,0,0.33,2025-05-14T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_02646186,htl_06d140bd,usr_de0e4344,7,Great staff,"जगह बहुत अच्छी है, मुख्य बाज़ार पैदल दूरी पर। गरम पानी में थोड़ी दिक्कत रही।",hi,solo,2026-04-16,,0,0,0.33,2026-04-19T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_c264d63c,htl_06d140bd,usr_e1d938d9,9,,"Room was spotless and the air conditioning was silent, which mattered in May. Would stay again, but I would ask for a room at the back.",en-IN,family,2025-08-29,rmt_dc3186dc,10,0,,2025-08-31T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_02a15c40,htl_06d140bd,usr_d20b2a69,7,Would return,"कमरा साफ़ था और स्टाफ़ मददगार था। नाश्ता ठीक-ठाक था, लेकिन सड़क का शोर सुबह जल्दी शुरू हो जाता है।",hi,family,2025-11-27,rmt_dc3186dc,7,1,0.33,2025-12-15T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_78017272,htl_06d140bd,usr_21525b93,6,Good location,"Good value for what you get. We paid less than the chain hotel two streets away. Wi-fi held up well enough for a two-hour video call, which I did not expect. Housekeeping was hit and miss — fine most days, skipped once. Exactly what was advertised, no more and no less.",en-IN,backpacker,2026-05-12,rmt_654f0c33,13,0,0.11,2026-05-26T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_e1a4b504,htl_06d140bd,usr_14c698db,7,Good location,"The location is the whole argument for this place — we walked to the beach road twice a day. Room was spotless and the air conditioning was silent, which mattered in October. Getting a cab from here in the evening took longer than it should. Fine for two nights, probably not for a week.",en-IN,senior,2026-04-25,rmt_d3c6ad86,0,0,0.33,2026-05-01T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_4a78e235,htl_06d140bd,usr_d67fa54b,5,Mixed,"जगह बहुत अच्छी है, मुख्य बाज़ार पैदल दूरी पर। गरम पानी में थोड़ी दिक्कत रही।",hi,senior,2026-01-02,rmt_dc3186dc,0,0,-0.11,2026-01-12T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_e50f961e,htl_06d140bd,,8,Noisy but central,"पैसे के हिसाब से बढ़िया। दोबारा आऊँगा, पर पीछे वाला कमरा लूँगा।",hi,family,2026-05-04,rmt_654f0c33,0,0,0.56,2026-05-20T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_d7ccfd46,htl_06d140bd,,9,Mixed,The courtyard is genuinely lovely in the evening. Worth it for the location alone.,en-IN,friends,2026-06-24,,1,0,0.78,2026-06-28T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_296a193a,htl_06d140bd,usr_a5bb000c,9,Mixed,"जगह बहुत अच्छी है, मुख्य बाज़ार पैदल दूरी पर। गरम पानी में थोड़ी दिक्कत रही।",hi,solo,2026-03-05,rmt_654f0c33,3,0,0.78,2026-03-06T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_c2540fde,htl_06d140bd,usr_a6999f45,6,,"Staff remembered our names by the second morning, which is rare anywhere. Thin walls. We heard the family next door quite clearly. Would stay again, but I would ask for a room at the back.",en-IN,family,2025-06-17,rmt_dc3186dc,0,0,0.11,2025-06-25T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_2ddc4fe2,htl_06d140bd,usr_20594684,7,Would return,"The location is the whole argument for this place — we walked to the beach road twice a day. Getting a cab from here in the evening took longer than it should. Exactly what was advertised, no more and no less.",en-IN,backpacker,2026-05-23,rmt_d3c6ad86,0,0,0.33,2026-05-30T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_3198dcbb,htl_06d140bd,usr_cf6d7fc2,10,Great staff,"जगह बहुत अच्छी है, मुख्य बाज़ार पैदल दूरी पर। गरम पानी में थोड़ी दिक्कत रही।",hi,business,2025-06-30,rmt_79ee35e1,0,0,1,2025-07-10T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_06164088,htl_06d140bd,usr_c94b68cc,8,Mixed,"Breakfast was better than it needed to be. The appam in particular. Good value for what you get. We paid less than the chain hotel two streets away. Would stay again, but I would ask for a room at the back.",en-IN,friends,2025-10-20,,0,1,0.56,2025-10-27T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_4789a622,htl_d8608c0c,usr_c7dcdd3d,4,Would return,"The lift was out for our whole stay and we were on the fourth floor. Exactly what was advertised, no more and no less.",en-IN,backpacker,2025-10-17,rmt_4f3886f8,7,1,-0.33,2025-10-18T20:00:00+05:30,2026-08-18T10:00:00+05:30
